season,week,game_id,game_date,player_id,player_display_name,position,team,opponent,game_location,roof,surface,is_home,team_rest,opponent_rest,source_spread_line,total_line,div_game,prior_games_count,prior_games_current_season,days_since_previous_game,is_first_observed_game,is_first_observed_game_of_season,has_previous_game,has_3_prior_games,has_5_prior_games,team_changed_since_previous_game,fantasy_points_ppr_prev_game,fantasy_points_ppr_avg_last_3_games,fantasy_points_ppr_avg_last_5_games,fantasy_points_ppr_stddev_last_5_games,fantasy_points_ppr_min_last_5_games,fantasy_points_ppr_max_last_5_games,fantasy_points_ppr_season_to_date,fantasy_points_ppr_stddev_season_to_date,attempts_prev_game,attempts_avg_last_3_games,attempts_avg_last_5_games,attempts_season_to_date,carries_prev_game,carries_avg_last_3_games,carries_avg_last_5_games,carries_season_to_date,targets_prev_game,targets_avg_last_3_games,targets_avg_last_5_games,targets_season_to_date,receptions_prev_game,receptions_avg_last_3_games,receptions_avg_last_5_games,touches_prev_game,touches_avg_last_3_games,touches_avg_last_5_games,opportunities_prev_game,opportunities_avg_last_3_games,opportunities_avg_last_5_games,opportunities_season_to_date,passing_yards_prev_game,passing_yards_avg_last_3_games,rushing_yards_prev_game,rushing_yards_avg_last_3_games,receiving_yards_prev_game,receiving_yards_avg_last_3_games,yards_from_scrimmage_prev_game,yards_from_scrimmage_avg_last_3_games,total_offensive_tds_prev_game,total_offensive_tds_avg_last_3_games,target_share_prev_game,target_share_avg_last_3_games,target_share_avg_last_5_games,target_share_season_to_date,air_yards_share_prev_game,air_yards_share_avg_last_3_games,air_yards_share_avg_last_5_games,wopr_prev_game,wopr_avg_last_3_games,wopr_avg_last_5_games,has_previous_snap_record,snap_records_last_3_games,snap_records_last_5_games,offense_snaps_prev_game,offense_snaps_avg_last_3_games,offense_snaps_avg_last_5_games,offense_pct_prev_game,offense_pct_avg_last_3_games,offense_pct_avg_last_5_games,completion_pct_avg_last_3_games,passing_yards_per_attempt_avg_last_3_games,rushing_yards_per_carry_avg_last_3_games,receiving_yards_per_target_avg_last_3_games,receiving_yards_per_reception_avg_last_3_games,fantasy_points_per_opportunity_avg_last_3_games,total_yards_per_opportunity_avg_last_3_games,opponent_prior_position_games,opponent_prior_position_games_current_season,has_opponent_history,opp_ppr_allowed_prev_game,opp_ppr_allowed_avg_last_3_games,opp_ppr_allowed_avg_last_5_games,opp_ppr_allowed_season_to_date,opp_opportunities_allowed_prev_game,opp_opportunities_allowed_avg_last_3_games,opp_opportunities_allowed_season_to_date,opp_passing_yards_allowed_season_to_date,opp_rushing_yards_allowed_season_to_date,opp_receiving_yards_allowed_season_to_date,opp_offensive_tds_allowed_season_to_date
2025,18,2025_18_KC_LV,2026-01-04,00-0038563,Tre Tucker,WR,LV,KC,HOME,dome,grass,1,7,10,-3.5,36.5,1,46,16,7.0,0,0,1,1,1,0,9.9,6.433333333333334,5.74,4.061773011875479,0.0,9.9,9.76875,9.165931031088258,0.0,0.0,0.0,0.0,2.0,1.3333,0.8,0.625,6.0,4.6667,4.4,5.375,5.0,3.0,2.8,7.0,4.3333,3.6,6.0,4.6667,4.4,5.375,0.0,0.0,0.0,3.6667,49.0,30.6667,49.0,34.3333,0.0,0.0,0.21428571428571427,0.1871861471861472,0.17529870129870131,0.18701676193544364,0.09580838323353294,0.1859910764369969,0.21122306116274464,0.38849443969204445,0.41097297428511864,0.4108041947619731,1,3,5,59.0,50.666666666666664,49.0,1.0,0.9766666666666667,0.966,,,2.75,6.571428571428571,10.222222222222221,1.3785714285714286,7.357142857142857,132,16,1,25.400000000000002,26.900000000000002,32.72,28.46875,25,17.333333333333332,17.5,0.0,2.625,129.5625,0.625
2025,18,2025_18_LAC_DEN,2026-01-04,00-0038573,Derius Davis,WR,LAC,DEN,AWAY,outdoors,grass,0,8,10,14.5,37.5,1,42,10,27.0,0,0,1,1,1,0,0.0,0.0,0.26,0.5813776741499455,0.0,1.3,0.18,0.40770359603788414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.3333,0.4,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.3333,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.014393939393939393,0.0071969696969696965,0.0,0.05615942028985507,0.028567447045707916,0.0,0.06014492753623188,0.04158812202290463,1,3,5,0.0,2.0,2.4,0.0,0.03666666666666667,0.04,,,,0.0,,0.0,0.0,132,16,1,6.3999999999999995,26.5,30.540000000000003,27.375,9,17.333333333333332,19.625,0.0,1.3125,133.0625,0.375
2025,18,2025_18_TEN_JAX,2026-01-04,00-0038606,Parker Washington,WR,JAX,TEN,HOME,outdoors,grass,1,7,7,12.5,46.5,1,37,15,7.0,0,0,1,1,1,0,19.0,17.933333333333334,15.1,9.119484634561319,3.6,26.5,11.0,7.327346040688949,0.0,0.0,0.0,0.0,1.0,0.3333,0.2,0.4667,10.0,7.6667,6.6,5.7333,8.0,5.6667,4.6,9.0,6.0,4.8,10.0,7.6667,6.6,5.7333,0.0,0.0,-5.0,-1.6667,115.0,104.3333,110.0,102.6667,0.0,0.3333,0.2702702702702703,0.22104247104247107,0.20329214929214928,0.1727027039505572,0.3149171270718232,0.31498821507513447,0.2865821049368396,0.6258473943556816,0.5520554571163007,0.5055456973940117,1,3,5,56.0,41.0,39.8,0.81,0.6066666666666667,0.608,,,-5.0,13.608695652173912,18.41176470588235,2.3391304347826085,13.391304347826088,132,16,1,47.4,34.833333333333336,32.040000000000006,35.29375,20,15.666666666666666,17.125,0.0,4.0625,163.875,1.125
2025,18,2025_18_MIA_NE,2026-01-04,00-0038608,Kayshon Boutte,WR,NE,MIA,HOME,outdoors,fieldturf,1,7,7,14.0,44.5,1,31,13,14.0,0,0,1,1,1,0,2.6,6.7,4.720000000000001,5.144608828667152,0.0,13.5,9.207692307692307,7.555953672266387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.4,3.2308,1.0,2.0,1.6,1.0,2.0,1.6,3.0,3.0,2.4,3.2308,0.0,0.0,0.0,0.0,16.0,27.0,16.0,27.0,0.0,0.3333,0.07142857142857142,0.09451659451659451,0.07597402597402599,0.11362545524949617,0.17088607594936708,0.17003217140767904,0.12235817544154455,0.22676311030741408,0.2607974117602671,0.19961176177012013,1,3,5,43.0,43.666666666666664,41.2,0.58,0.6933333333333334,0.628,,,,9.0,13.5,2.2333333333333334,9.0,132,16,1,63.199999999999996,41.9,37.959999999999994,30.387500000000003,31,17.666666666666668,15.8125,0.0,2.375,127.125,1.0625
2025,18,2025_18_IND_HOU,2026-01-04,00-0038618,Xavier Hutchinson,WR,HOU,IND,HOME,closed,astroturf,1,8,7,9.5,37.5,1,41,15,8.0,0,0,1,1,1,0,4.9,2.966666666666667,2.96,2.4357750306627253,0.0,5.9,5.6400000000000015,5.183049295540223,0.0,0.0,0.0,0.0,1.0,0.3333,0.2,0.2,3.0,2.3333,2.8,3.2,2.0,1.3333,1.2,3.0,1.6667,1.4,3.0,2.3333,2.8,3.2,0.0,0.0,8.0,2.6667,21.0,13.6667,29.0,16.3333,0.0,0.0,0.11538461538461539,0.083710407239819,0.09629105915870621,0.09808472821914949,0.0859375,0.0654119815748914,0.09871523845982276,0.23323317307692307,0.17135399796215248,0.21353725565993525,1,3,5,31.0,27.666666666666668,30.6,0.48,0.42333333333333334,0.44399999999999995,,,8.0,5.857142857142857,10.25,1.2714285714285716,7.0,132,16,1,34.8,37.4,39.279999999999994,36.71875,27,21.333333333333332,21.4375,0.0,2.5625,171.5,0.9375
2025,18,2025_18_CLE_CIN,2026-01-04,00-0038619,Andrei Iosivas,WR,CIN,CLE,HOME,outdoors,fieldturf,1,7,7,9.5,47.5,1,42,14,7.0,0,0,1,1,1,0,8.100000000000001,3.733333333333334,4.960000000000001,3.997249054037039,0.0,9.9,6.207142857142857,5.308261237226119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2143,6.0,2.6667,2.6,3.9286,4.0,1.6667,1.6,4.0,1.6667,1.6,6.0,2.6667,2.6,3.9286,0.0,0.0,0.0,0.0,41.0,20.6667,41.0,20.6667,0.0,0.0,0.18181818181818182,0.08061800803736287,0.07412838057999349,0.10365539349862636,0.2574626865671642,0.1431559452472606,0.1121805612293034,0.45295115332428765,0.22113617372912672,0.18971896373050262,1,3,5,54.0,51.0,54.0,0.7,0.6999999999999998,0.7380000000000001,,,,7.75,12.4,1.4000000000000001,7.75,132,16,1,14.0,21.0,21.279999999999998,25.706249999999997,21,15.0,14.375,0.0,2.75,105.5625,0.9375
2025,18,2025_18_MIA_NE,2026-01-04,00-0038621,DeMario Douglas,WR,NE,MIA,HOME,outdoors,fieldturf,1,7,7,14.0,44.5,1,45,15,7.0,0,0,1,1,1,0,2.0,1.3666666666666665,3.3,2.704625667259705,0.5,6.300000000000001,6.059999999999999,5.3750481725416055,0.0,0.0,0.0,0.0,0.0,0.3333,0.4,0.4667,2.0,1.3333,1.6,2.8667,1.0,0.6667,1.2,1.0,1.0,1.6,2.0,1.3333,1.6,2.8667,0.0,0.0,0.0,1.6667,10.0,5.3333,10.0,7.0,0.0,0.0,0.08,0.042539682539682544,0.05158441558441559,0.0941528593567574,0.08636363636363636,0.03300728807057921,0.06282230728885341,0.18045454545454545,0.08691462545892925,0.12135223847882075,1,3,5,9.0,10.666666666666666,13.2,0.14,0.17,0.20400000000000001,,,5.0,4.0,8.0,1.025,5.25,132,16,1,63.199999999999996,41.9,37.959999999999994,30.387500000000003,31,17.666666666666668,15.8125,0.0,2.375,127.125,1.0625
2025,18,2025_18_ARI_LA,2026-01-04,00-0038640,Jalen Brooks,WR,ARI,LA,AWAY,dome,matrixturf,0,7,6,14.5,49.5,1,19,4,14.0,0,0,1,1,1,0,0.0,2.7000000000000006,2.06,2.1835750502329887,0.0,5.2,2.0250000000000004,2.5197552791226907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.4,1.5,0.0,1.0,0.8,0.0,1.0,0.8,0.0,2.0,1.4,1.5,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0,0.0,0.0,0.0,0.04904306220095694,0.03632238904471209,0.0367822966507177,0.0,0.07433712121212122,0.053693181818181814,0.0,0.12560057814992023,0.09206881083979541,1,3,5,3.0,25.0,18.4,0.05,0.38666666666666666,0.28800000000000003,,,,8.5,17.0,1.3500000000000003,8.5,132,16,1,13.6,41.333333333333336,39.5,32.38125,9,19.0,19.0,0.0,5.5,147.6875,0.875
2025,18,2025_18_NO_ATL,2026-01-04,00-0038647,Ronnie Bell,WR,NO,ATL,AWAY,closed,fieldturf,0,7,6,4.5,43.5,1,18,1,7.0,0,0,1,1,1,0,0.0,0.0,0.8400000000000001,1.1523888232710349,0.0,2.2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,1.2,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.3333,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.040903225806451615,0.0,0.0,-0.003454231433506045,0.040305509920384175,0.0,0.017582037996545768,0.08956869565394635,1,3,5,2.0,9.0,16.2,0.04,0.13999999999999999,0.244,,,,0.0,,0.0,0.0,132,16,1,29.4,32.76666666666667,38.32000000000001,33.8375,22,19.333333333333332,18.0,0.0,5.5625,144.6875,1.1875
2025,18,2025_18_CAR_TB,2026-01-03,00-0038840,Brycen Tremayne,WR,CAR,TB,AWAY,outdoors,grass,0,6,6,3.0,43.5,1,16,14,6.0,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.807142857142857,2.65256458943018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333,0.2,1.1429,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333,0.2,1.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.015873015873015872,0.009523809523809523,0.03467251178806009,0.32558139534883723,0.10852713178294575,0.06511627906976744,0.2993355481727575,0.09977851605758582,0.059867109634551496,1,3,5,8.0,8.0,9.0,0.15,0.1466666666666667,0.16,,,,0.0,,0.0,0.0,132,16,1,17.3,23.099999999999998,21.04,30.831249999999997,7,13.666666666666666,18.875,0.0,1.875,144.5625,0.8125
