season,week,game_id,game_date,player_id,player_name,player_display_name,position,team,opponent,game_location,is_home,team_rest,opponent_rest,source_spread_line,total_line,div_game,roof,surface,target_fantasy_points_ppr,data_split,feature_version,prior_games_count,prior_games_current_season,previous_game_season,previous_game_week,previous_game_date,previous_team,days_since_previous_game,is_first_observed_game,is_first_observed_game_of_season,has_previous_game,has_3_prior_games,has_5_prior_games,team_changed_since_previous_game,fantasy_points_ppr_prev_game,fantasy_points_ppr_avg_last_3_games,fantasy_points_ppr_avg_last_5_games,fantasy_points_ppr_stddev_last_5_games,fantasy_points_ppr_min_last_5_games,fantasy_points_ppr_max_last_5_games,fantasy_points_ppr_season_to_date,fantasy_points_ppr_stddev_season_to_date,attempts_prev_game,attempts_avg_last_3_games,attempts_avg_last_5_games,attempts_season_to_date,carries_prev_game,carries_avg_last_3_games,carries_avg_last_5_games,carries_season_to_date,targets_prev_game,targets_avg_last_3_games,targets_avg_last_5_games,targets_season_to_date,receptions_prev_game,receptions_avg_last_3_games,receptions_avg_last_5_games,touches_prev_game,touches_avg_last_3_games,touches_avg_last_5_games,opportunities_prev_game,opportunities_avg_last_3_games,opportunities_avg_last_5_games,opportunities_season_to_date,passing_yards_prev_game,passing_yards_avg_last_3_games,rushing_yards_prev_game,rushing_yards_avg_last_3_games,receiving_yards_prev_game,receiving_yards_avg_last_3_games,yards_from_scrimmage_prev_game,yards_from_scrimmage_avg_last_3_games,total_offensive_tds_prev_game,total_offensive_tds_avg_last_3_games,target_share_prev_game,target_share_avg_last_3_games,target_share_avg_last_5_games,target_share_season_to_date,air_yards_share_prev_game,air_yards_share_avg_last_3_games,air_yards_share_avg_last_5_games,wopr_prev_game,wopr_avg_last_3_games,wopr_avg_last_5_games,has_previous_snap_record,snap_records_last_3_games,snap_records_last_5_games,offense_snaps_prev_game,offense_snaps_avg_last_3_games,offense_snaps_avg_last_5_games,offense_pct_prev_game,offense_pct_avg_last_3_games,offense_pct_avg_last_5_games,completion_pct_avg_last_3_games,passing_yards_per_attempt_avg_last_3_games,rushing_yards_per_carry_avg_last_3_games,receiving_yards_per_target_avg_last_3_games,receiving_yards_per_reception_avg_last_3_games,fantasy_points_per_opportunity_avg_last_3_games,total_yards_per_opportunity_avg_last_3_games,opponent_prior_position_games,opponent_prior_position_games_current_season,has_opponent_history,opp_ppr_allowed_prev_game,opp_ppr_allowed_avg_last_3_games,opp_ppr_allowed_avg_last_5_games,opp_ppr_allowed_season_to_date,opp_opportunities_allowed_prev_game,opp_opportunities_allowed_avg_last_3_games,opp_opportunities_allowed_season_to_date,opp_passing_yards_allowed_season_to_date,opp_rushing_yards_allowed_season_to_date,opp_receiving_yards_allowed_season_to_date,opp_offensive_tds_allowed_season_to_date,created_at
2024,8,2024_08_DAL_SF,2024-10-27,00-0033576,E.Saubert,Eric Saubert,TE,SF,DAL,HOME,1,7,14,5.5,48.0,0,outdoors,grass,0.0,validation,v1_prior_game,45,3,2024.0,3.0,2024-09-22,SF,35.0,0,0,1,1,1,0,6.1000000000000005,3.5666666666666664,2.68,2.556755756813701,0.0,6.1000000000000005,3.5666666666666664,3.1785741037976973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6667,1.4,1.6667,2.0,1.3333,1.2,2.0,1.3333,1.2,2.0,1.6667,1.4,1.6667,0.0,0.0,0.0,0.0,41.0,22.3333,41.0,22.3333,0.0,0.0,0.06666666666666667,0.052234993614303955,0.04548491676411587,0.052234993614303955,0.06402439024390244,0.062450803401235204,0.037620918070170165,0.14481707317073172,0.12206805280232058,0.09456201779529293,1,3,5,61.0,35.333333333333336,27.4,0.86,0.49666666666666665,0.404,,,,13.4,16.75,2.1399999999999997,13.4,105,6,1,12.2,8.833333333333334,6.959999999999999,8.15,2.0,2.6666666666666665,3.5,0.0,3.0,31.833333333333332,0.3333333333333333,2026-08-21 11:12:46
2024,8,2024_08_MIN_LA,2024-10-24,00-0035249,J.Oliver,Josh Oliver,TE,MIN,LA,AWAY,0,4,4,-3.0,47.5,0,dome,matrixturf,11.0,validation,v1_prior_game,43,4,2024.0,7.0,2024-10-20,MIN,4.0,0,0,1,1,1,0,1.5,3.5,4.0600000000000005,3.4975705854206858,0.0,9.0,3.8,3.9824615503479754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3333,1.8,1.5,1.0,1.0,1.4,1.0,1.0,1.4,1.0,1.3333,1.8,1.5,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.3333,0.038461538461538464,0.050845204178537516,0.06185191522704161,0.05987303356868574,0.023255813953488372,0.059546354550013614,0.06039447939667484,0.07397137745974955,0.11795025445281578,0.1350540084182348,1,3,5,35.0,37.333333333333336,35.4,0.58,0.5833333333333334,0.55,,,,3.75,5.0,2.625,3.75,104,6,1,23.200000000000003,18.133333333333336,16.4,15.283333333333333,16.0,8.0,6.5,0.0,0.0,67.83333333333333,0.5,2026-08-21 11:12:46
2024,8,2024_08_BUF_SEA,2024-10-27,00-0035644,N.Fant,Noah Fant,TE,SEA,BUF,HOME,1,7,7,-3.0,45.5,0,outdoors,fieldturf,5.2,validation,v1_prior_game,85,7,2024.0,7.0,2024-10-20,SEA,7.0,0,0,1,1,1,0,10.5,9.4,8.959999999999999,3.6895799218881273,4.6,12.3,7.185714285714285,4.277627290694602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.3333,4.2,4.0,4.0,4.3333,4.2,4.0,4.3333,4.2,4.0,4.3333,4.2,4.0,0.0,0.0,0.0,0.0,65.0,50.6667,65.0,50.6667,0.0,0.0,0.14285714285714285,0.11492673992673992,0.11286685013100106,0.1134430989307815,0.07936507936507936,0.07214794382935975,0.09469366670304508,0.2698412698412698,0.22289367057066176,0.23558584188863319,1,3,5,32.0,42.0,41.0,0.53,0.6366666666666666,0.584,,,,11.692307692307692,11.692307692307692,2.1692307692307695,11.692307692307692,105,7,1,21.9,12.533333333333331,10.66,11.085714285714285,12.0,8.666666666666666,8.285714285714286,0.0,0.0,45.142857142857146,0.14285714285714285,2026-08-21 11:12:46
2024,8,2024_08_CHI_WAS,2024-10-27,00-0036628,J.Bates,John Bates,TE,WAS,CHI,HOME,1,7,14,1.5,46.5,0,outdoors,grass,3.0,validation,v1_prior_game,41,5,2024.0,7.0,2024-10-20,WAS,7.0,0,0,1,1,1,0,0.0,0.6333333333333333,0.6799999999999999,0.9418067742376882,0.0,1.9,0.6799999999999999,0.9418067742376882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.6,0.6,0.0,0.3333,0.4,0.0,0.3333,0.4,0.0,0.3333,0.6,0.6,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.011111111111111112,0.02189655172413793,0.02189655172413793,0.0,0.005747126436781609,0.006844997173544374,0.0,0.020689655172413793,0.03763632560768796,1,3,5,29.0,30.0,28.6,0.42,0.4466666666666667,0.43199999999999994,,,,9.0,9.0,1.9,9.0,104,6,1,20.300000000000004,10.533333333333335,8.98,9.583333333333334,12.0,8.666666666666666,6.166666666666667,0.0,0.0,45.833333333333336,0.16666666666666666,2026-08-21 11:12:46
2024,9,2024_09_NE_TEN,2024-11-03,00-0033090,H.Henry,Hunter Henry,TE,NE,TEN,AWAY,0,7,7,3.0,38.5,0,outdoors,grass,12.600000000000001,validation,v1_prior_game,79,8,2024.0,8.0,2024-10-27,NE,7.0,0,0,1,1,1,0,9.5,13.266666666666667,9.64,5.708152065248438,3.2,17.200000000000003,9.225000000000001,6.483330272982507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.6667,5.4,5.625,5.0,5.3333,4.0,5.0,5.3333,4.0,6.0,6.6667,5.4,5.625,0.0,0.0,0.0,0.0,45.0,59.3333,45.0,59.3333,0.0,0.3333,0.20689655172413793,0.20606229143492769,0.1690540415276233,0.2000881237808515,0.149812734082397,0.21313633579144084,0.17923763988106262,0.4152137414438848,0.4582888722064002,0.3790474102081788,1,3,5,57.0,52.0,52.4,0.85,0.81,0.828,,,,8.9,11.125,1.9900000000000002,8.9,106,7,1,24.6,15.600000000000001,11.2,8.614285714285716,7.0,8.0,5.428571428571429,0.0,0.0,33.285714285714285,0.2857142857142857,2026-08-21 11:12:46
2024,10,2024_10_ATL_NO,2024-11-10,00-0033357,T.Hill,Taysom Hill,TE,NO,ATL,HOME,1,7,7,-3.5,46.5,1,dome,sportturf,7.0,validation,v1_prior_game,96,5,2024.0,9.0,2024-11-03,NO,7.0,0,0,1,1,1,0,16.0,12.206666666666669,8.824,5.964551952996972,2.9000000000000004,16.0,8.824,5.964551952996972,1.0,0.6667,0.4,0.4,5.0,5.0,4.6,4.6,5.0,3.0,2.4,2.4,4.0,2.0,1.6,9.0,7.0,6.2,5.0,3.0,2.4,2.4,0.0,1.0,19.0,21.0,41.0,20.6667,60.0,41.6667,1.0,1.0,0.17857142857142858,0.09461152882205515,0.08676691729323309,0.08676691729323309,0.03414634146341464,0.02688598979013046,0.035781680629428186,0.2917595818815331,0.16073748608617403,0.15519755238044936,1,3,5,35.0,26.333333333333332,25.6,0.44,0.3466666666666667,0.366,0.5,1.5,4.2,6.888888888888889,10.333333333333334,4.068888888888889,14.222222222222221,108,9,1,14.100000000000001,18.400000000000002,14.5,13.366666666666665,10.0,8.333333333333334,6.888888888888889,0.0,2.6666666666666665,52.111111111111114,0.4444444444444444,2026-08-21 11:12:46
2024,10,2024_10_MIA_LA,2024-11-11,00-0039074,D.Allen,Davis Allen,TE,LA,MIA,HOME,1,8,8,2.5,49.5,0,dome,matrixturf,8.4,validation,v1_prior_game,10,3,2024.0,9.0,2024-11-03,LA,8.0,0,0,1,1,1,0,1.5,0.5,1.6,2.8151376520518494,0.0,6.5,0.5,0.8660254037844386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.6667,1.8,1.6667,1.0,0.3333,1.0,1.0,0.3333,1.0,3.0,1.6667,1.8,1.6667,0.0,0.0,0.0,0.0,5.0,1.6667,5.0,1.6667,0.0,0.0,0.07142857142857142,0.03816137566137566,0.057679434092477576,0.03816137566137566,0.04357798165137615,0.012283518391293068,0.022464450657417347,0.13764744429882045,0.06584052636596864,0.1022442665989085,1,3,5,42.0,17.0,21.0,0.55,0.22333333333333336,0.296,,,,1.0,5.0,0.3,1.0,107,8,1,15.899999999999999,14.033333333333331,10.44,9.899999999999999,13.0,10.333333333333334,7.625,0.0,0.0,44.0,0.125,2026-08-21 11:12:46
2024,11,2024_11_SEA_SF,2024-11-17,00-0038643,B.Willis,Brayden Willis,TE,SF,SEA,HOME,1,7,14,6.0,49.0,1,outdoors,grass,0.0,validation,v1_prior_game,1,0,2023.0,4.0,2023-10-01,SF,413.0,0,1,1,0,0,0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,1.0,1.0,0.02,0.02,0.02,,,,,,,,107,9,1,2.9,12.166666666666666,13.820000000000002,12.877777777777778,4.0,7.333333333333333,7.222222222222222,0.0,0.0,55.44444444444444,0.3333333333333333,2026-08-21 11:12:46
2024,11,2024_11_LV_MIA,2024-11-17,00-0038720,J.Hill,Julian Hill,TE,MIA,LV,HOME,1,6,14,8.0,43.5,0,outdoors,grass,4.800000000000001,validation,v1_prior_game,17,7,2024.0,10.0,2024-11-11,MIA,6.0,0,0,1,1,1,0,0.0,1.8333333333333333,1.98,2.1522081683703367,0.0,4.4,1.6428571428571428,1.9060055463867733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.6,1.5714,0.0,1.3333,1.2,0.0,1.3333,1.2,1.0,2.0,1.6,1.5714,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.03571428571428571,0.06852358168147642,0.05401737481533746,0.05027410084407417,0.032679738562091505,0.03790843310325168,0.033424671512436444,0.07644724556489262,0.12932127569449078,0.1044233322817117,1,3,5,29.0,28.666666666666668,30.2,0.55,0.4633333333333334,0.462,,,,2.5,3.75,0.9166666666666666,2.5,107,9,1,46.199999999999996,27.73333333333333,18.98,15.08888888888889,15.0,11.333333333333334,7.0,0.0,0.0,59.77777777777778,0.5555555555555556,2026-08-21 11:12:46
2024,13,2024_13_LAC_ATL,2024-12-01,00-0037475,S.Smartt,Stone Smartt,TE,LAC,ATL,AWAY,0,6,14,-1.0,47.0,0,closed,fieldturf,1.3,validation,v1_prior_game,19,4,2024.0,8.0,2024-10-27,LAC,35.0,0,0,1,1,1,0,0.0,2.033333333333333,1.9,1.8920887928424501,0.0,4.1,1.525,1.9585283590832514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,0.75,0.0,0.6667,0.8,0.0,0.6667,0.8,0.0,1.0,1.2,0.75,0.0,0.0,0.0,0.0,0.0,13.6667,0.0,13.6667,0.0,0.0,0.0,0.02877070619006103,0.030595757047369953,0.021578029642545772,0.0,0.048919597285321664,0.049481628501063135,0.0,0.0773997773848167,0.08053077552179912,1,3,5,1.0,6.0,10.0,0.02,0.08666666666666667,0.13,,,,13.666666666666666,20.5,2.033333333333333,13.666666666666666,110,11,1,8.2,11.166666666666666,14.920000000000002,12.699999999999996,2.0,6.333333333333333,6.454545454545454,0.0,3.4545454545454546,49.0,0.45454545454545453,2026-08-21 11:12:46
