source_season,depth_source_format,season,week,game_type,dt,depth_timestamp,team,player_name,espn_id,gsis_id,roster_position,pos_grp_id,pos_grp,pos_id,pos_name,pos_abb,pos_slot,pos_rank,data_split
2018,legacy_weekly,2018,1,REG,,,ARI,Deatrick Nichols,,00-0034481,CB,,Defense,,CB,CB,,3,training
2018,legacy_weekly,2018,1,REG,,,ARI,Trent Sherfield,,00-0034487,WR,,Offense,,WR,WR,,3,training
2018,legacy_weekly,2018,1,REG,,,ARI,Ezekiel Turner,,00-0034490,ILB,,Defense,,SS,SS,,3,training
2018,legacy_weekly,2018,1,REG,,,ARI,Ezekiel Turner,,00-0034490,ILB,,Defense,,WLB,WLB,,2,training
2018,legacy_weekly,2018,1,REG,,,ARI,Chase Edmonds,,00-0034681,RB,,Offense,,RB,RB,,2,training
2018,legacy_weekly,2018,1,REG,,,ARI,Korey Cunningham,,00-0034687,T,,Offense,,LT,LT,,3,training
2018,legacy_weekly,2018,1,REG,,,ARI,Christian Kirk,,00-0034775,WR,,Offense,,WR,WR,,2,training
2018,legacy_weekly,2018,1,REG,,,ARI,Christian Kirk,,00-0034775,WR,,Special Teams,,PR,PR,,1,training
2018,legacy_weekly,2018,1,REG,,,ARI,Mason Cole,,00-0034785,C,,Offense,,C,C,,1,training
2018,legacy_weekly,2018,1,REG,,,ATL,Matt Bryant,,00-0020578,K,,Special Teams,,K,K,,1,training
2018,legacy_weekly,2018,1,REG,,,ATL,Matt Schaub,,00-0022787,QB,,Offense,,QB,QB,,2,training
2018,legacy_weekly,2018,1,REG,,,ATL,Matt Ryan,,00-0026143,QB,,Offense,,QB,QB,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,Terrell Suggs,,00-0022161,OLB,,Defense,,WILL,WILL,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,Andy Lee,,00-0022824,P,,Special Teams,,H,H,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,Andy Lee,,00-0022824,P,,Special Teams,,P,P,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,Larry Fitzgerald,,00-0022921,WR,,Offense,,WR,WR,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,A.Q. Shipley,,00-0026950,C,,Offense,,C,C,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,Clinton McDonald,,00-0026964,DE,,Defense,,DE,DE,,2,training
2019,legacy_weekly,2019,1,REG,,,ARI,Michael Crabtree,,00-0026986,WR,,Offense,,WR,WR,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,Tramaine Brock,,00-0027375,CB,,Defense,,CB,CB,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,Corey Peters,,00-0027686,DT,,Defense,,NT,NT,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,Brooks Reed,,00-0027980,OLB,,Defense,,SAM,SAM,,2,training
2019,legacy_weekly,2019,1,REG,,,ARI,Marcus Gilbert,,00-0028001,T,,Offense,,RT,RT,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,Charles Clay,,00-0028112,TE,,Offense,,TE,TE,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,Aaron Brewer,,00-0028946,LS,,Special Teams,,LS,LS,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,J.R. Sweezy,,00-0029146,G,,Offense,,RG,RG,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,Chandler Jones,,00-0029585,DE,,Defense,,SAM,SAM,,1,training
