season,week,game_id,game_date,player_id,player_display_name,position,team,opponent,field_goals_made,field_goals_attempted,field_goals_missed,field_goals_blocked,field_goals_made_0_19,field_goals_made_20_29,field_goals_made_30_39,field_goals_made_40_49,field_goals_made_50_59,field_goals_made_60_plus,extra_points_made,extra_points_attempted,extra_points_missed,extra_points_blocked,espn_fantasy_points,yahoo_fantasy_points
2025,13,2025_13_KC_DAL,2025-11-27,00-0037692,Brandon Aubrey,K,DAL,KC,3,3,0,0,0,1,1,1,0,0,2,2,0,0,12.0,12.0
2025,13,2025_13_KC_DAL,2025-11-27,00-0033303,Harrison Butker,K,KC,DAL,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4.0,4.0
2025,13,2025_13_LA_CAR,2025-11-30,00-0040279,Ryan Fitzgerald,K,CAR,LA,1,1,0,0,0,0,1,0,0,0,4,4,0,0,7.0,7.0
2025,13,2025_13_LA_CAR,2025-11-30,00-0039498,Harrison Mevis,K,LA,CAR,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4.0,4.0
2025,13,2025_13_LV_LAC,2025-11-30,00-0037224,Cameron Dicker,K,LAC,LV,1,1,0,0,0,0,0,0,1,0,4,4,0,0,9.0,9.0
2025,13,2025_13_LV_LAC,2025-11-30,00-0034161,Daniel Carlson,K,LV,LAC,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2.0,2.0
2025,13,2025_13_MIN_SEA,2025-11-30,00-0039404,Will Reichard,K,MIN,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2025,13,2025_13_MIN_SEA,2025-11-30,00-0031492,Jason Myers,K,SEA,MIN,4,4,0,0,0,0,1,1,2,0,2,2,0,0,19.0,19.0
2025,13,2025_13_NO_MIA,2025-11-30,00-0036816,Riley Patterson,K,MIA,NO,4,4,0,0,0,1,2,1,0,0,1,1,0,0,14.0,14.0
2025,13,2025_13_NO_MIA,2025-11-30,00-0039229,Charlie Smyth,K,NO,MIA,1,1,0,0,0,0,0,0,1,0,0,0,0,0,5.0,5.0
2025,13,2025_13_NYG_NE,2025-12-01,00-0040200,Andy Borregales,K,NE,NYG,4,5,1,0,0,3,1,0,0,0,3,3,0,0,14.0,15.0
2025,13,2025_13_NYG_NE,2025-12-01,00-0033702,Younghoe Koo,K,NYG,NE,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1.0
2025,13,2025_13_SF_CLE,2025-11-30,00-0038428,Andre Szmyt,K,CLE,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2025,13,2025_13_SF_CLE,2025-11-30,00-0035269,Matt Gay,K,SF,CLE,2,2,0,0,0,1,1,0,0,0,2,2,0,0,8.0,8.0
2025,14,2025_14_CHI_GB,2025-12-07,00-0031203,Cairo Santos,K,CHI,GB,2,2,0,0,0,0,1,1,0,0,1,1,0,0,8.0,8.0
2025,14,2025_14_CHI_GB,2025-12-07,00-0029822,Brandon McManus,K,GB,CHI,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4.0,4.0
2025,14,2025_14_CIN_BUF,2025-12-07,00-0023853,Matt Prater,K,BUF,CIN,1,1,0,0,0,1,0,0,0,0,4,4,0,0,7.0,7.0
2025,14,2025_14_CIN_BUF,2025-12-07,00-0036854,Evan McPherson,K,CIN,BUF,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4.0,4.0
2025,14,2025_14_DAL_DET,2025-12-04,00-0037692,Brandon Aubrey,K,DAL,DET,5,5,0,0,0,1,0,1,2,1,1,1,0,0,24.0,23.0
2025,14,2025_14_DAL_DET,2025-12-04,00-0039172,Jake Bates,K,DET,DAL,3,4,0,1,0,0,1,2,0,0,5,5,0,0,16.0,16.0
2025,14,2025_14_DEN_LV,2025-12-07,00-0032569,Wil Lutz,K,DEN,LV,1,1,0,0,0,1,0,0,0,0,3,3,0,0,6.0,6.0
2025,14,2025_14_DEN_LV,2025-12-07,00-0034161,Daniel Carlson,K,LV,DEN,1,1,0,0,0,0,0,1,0,0,2,2,0,0,6.0,6.0
2025,14,2025_14_HOU_KC,2025-12-07,00-0032726,Ka'imi Fairbairn,K,HOU,KC,2,2,0,0,0,1,1,0,0,0,2,2,0,0,8.0,8.0
2025,14,2025_14_HOU_KC,2025-12-07,00-0033303,Harrison Butker,K,KC,HOU,1,2,1,0,0,0,1,0,0,0,1,1,0,0,3.0,4.0
2025,14,2025_14_IND_JAX,2025-12-07,00-0038905,Blake Grupe,K,IND,JAX,2,2,0,0,0,1,1,0,0,0,1,1,0,0,7.0,7.0
2025,14,2025_14_IND_JAX,2025-12-07,00-0039409,Cam Little,K,JAX,IND,2,2,0,0,0,0,1,1,0,0,4,4,0,0,11.0,11.0
2025,14,2025_14_LA_ARI,2025-12-07,00-0038567,Chad Ryland,K,ARI,LA,1,2,1,0,0,0,1,0,0,0,2,2,0,0,4.0,5.0
2025,14,2025_14_LA_ARI,2025-12-07,00-0039498,Harrison Mevis,K,LA,ARI,1,1,0,0,0,1,0,0,0,0,6,6,0,0,9.0,9.0
2025,14,2025_14_MIA_NYJ,2025-12-07,00-0036816,Riley Patterson,K,MIA,NYJ,2,2,0,0,0,0,0,1,1,0,4,4,0,0,13.0,13.0
2025,14,2025_14_MIA_NYJ,2025-12-07,00-0025565,Nick Folk,K,NYJ,MIA,1,1,0,0,0,0,1,0,0,0,1,1,0,0,4.0,4.0
2025,14,2025_14_NO_TB,2025-12-07,00-0039229,Charlie Smyth,K,NO,TB,1,2,1,0,0,0,1,0,0,0,3,3,0,0,5.0,6.0
2025,14,2025_14_NO_TB,2025-12-07,00-0035358,Chase McLaughlin,K,TB,NO,2,2,0,0,0,0,1,1,0,0,2,2,0,0,9.0,9.0
2025,14,2025_14_PHI_LAC,2025-12-08,00-0037224,Cameron Dicker,K,LAC,PHI,5,5,0,0,0,0,2,2,1,0,1,1,0,0,20.0,20.0
2025,14,2025_14_PHI_LAC,2025-12-08,00-0033787,Jake Elliott,K,PHI,LAC,4,5,1,0,0,0,1,2,1,0,1,1,0,0,16.0,17.0
2025,14,2025_14_PIT_BAL,2025-12-07,00-0040074,Tyler Loop,K,BAL,PIT,3,3,0,0,0,1,2,0,0,0,1,2,1,0,10.0,10.0
2025,14,2025_14_PIT_BAL,2025-12-07,00-0031136,Chris Boswell,K,PIT,BAL,2,2,0,0,0,2,0,0,0,0,3,3,0,0,9.0,9.0
2025,14,2025_14_SEA_ATL,2025-12-07,00-0033862,Zane Gonzalez,K,ATL,SEA,3,4,0,1,0,1,1,1,0,0,0,0,0,0,10.0,10.0
2025,14,2025_14_SEA_ATL,2025-12-07,00-0031492,Jason Myers,K,SEA,ATL,3,3,0,0,0,1,1,1,0,0,4,4,0,0,14.0,14.0
2025,14,2025_14_TEN_CLE,2025-12-07,00-0038428,Andre Szmyt,K,CLE,TEN,1,1,0,0,0,0,1,0,0,0,2,2,0,0,5.0,5.0
2025,14,2025_14_TEN_CLE,2025-12-07,00-0035192,Joey Slye,K,TEN,CLE,1,1,0,0,0,0,0,1,0,0,4,4,0,0,8.0,8.0
2025,14,2025_14_WAS_MIN,2025-12-07,00-0039404,Will Reichard,K,MIN,WAS,1,1,0,0,0,0,0,1,0,0,4,4,0,0,8.0,8.0
2025,14,2025_14_WAS_MIN,2025-12-07,00-0038562,Jake Moody,K,WAS,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2025,15,2025_15_ARI_HOU,2025-12-14,00-0038567,Chad Ryland,K,ARI,HOU,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2.0,2.0
2025,15,2025_15_ARI_HOU,2025-12-14,00-0032726,Ka'imi Fairbairn,K,HOU,ARI,4,5,0,1,0,1,2,0,1,0,4,4,0,0,18.0,18.0
2025,15,2025_15_ATL_TB,2025-12-11,00-0033862,Zane Gonzalez,K,ATL,TB,1,1,0,0,0,0,0,1,0,0,2,2,0,0,6.0,6.0
2025,15,2025_15_ATL_TB,2025-12-11,00-0035358,Chase McLaughlin,K,TB,ATL,2,2,0,0,0,0,0,1,1,0,2,2,0,0,11.0,11.0
